x,y,yaw,gtx,gty,gtyaw,time1,time2,xmd,ymd,yawmd,xdopp,ydopp,yawdopp
2.55507,-0.0318555,0.00801775,2.53434,0.002099,0.004144,1547131041353597,1547131041604799,2.56572,-0.041974,0.00822391,2.60975,0.00119658,0.0103294
2.4274,-0.0606948,0.00458001,2.55574,0.002724,0.004948,1547131041604799,1547131041853855,2.41427,0.0508334,0.00759545,2.4497,-0.0437282,0.00341225
2.45315,-0.00203913,0.00769132,2.5736,-0.001132,0.003264,1547131041853855,1547131042102934,2.48747,0.00679304,0.00756824,2.51857,-0.0299339,0.00781439
2.5137,0.00982685,0.00556628,2.54707,-0.003906,0.002547,1547131042102934,1547131042352513,2.51004,0.038977,0.00633736,2.55749,-0.0204821,0.00475619
2.47833,-0.0555412,-0.0020404,2.52393,-0.001234,0.002414,1547131042352513,1547131042600712,2.43766,-0.0163094,0.00492511,2.49363,-0.0389784,0.000668584
2.58896,-0.0661891,0.000632372,2.54113,-0.005265,0.00118,1547131042600712,1547131042850121,2.59675,-0.0645419,0.000802532,2.61837,-0.0636975,0.00111809
2.60973,0.00937288,0.00300727,2.55799,-0.012404,0.001645,1547131042850121,1547131043098710,2.63488,0.0145717,0.00336391,2.5913,0.00677198,0.0029918
2.54281,-0.0945071,-0.000201666,2.58847,-0.017675,0.000175,1547131043098710,1547131043346670,2.50584,-0.074446,-0.000475024,2.49649,-0.0952989,-0.000251308
2.57054,0.00729245,-0.00209083,2.59523,-0.009808,0.000299,1547131043346670,1547131043594511,2.50562,-0.0145074,-0.00215885,2.5468,-0.00484116,-0.0020583
2.54715,-0.020161,-0.00126491,2.60397,-0.003874,-0.000294,1547131043594511,1547131043842597,2.57253,-0.0229732,-0.000350745,2.5533,-0.0316382,-0.00157014
2.5418,-0.0378202,-0.00137772,2.61403,-0.016429,-0.00179,1547131043842597,1547131044090000,2.47982,-0.0471458,-0.00198487,2.47405,-0.0430848,-0.00207022
2.53422,-0.171114,0.000156364,2.4266,-0.012364,-0.001255,1547131044090000,1547131044339266,2.54677,-0.184414,0.000158007,2.54597,-0.177282,1.35769e-05
2.60513,-0.0165383,-0.00331216,2.38289,-0.007326,-0.00198,1547131044339266,1547131044591578,2.61623,-0.0652367,-0.00144994,2.63551,-0.0455603,-0.00180441
2.60599,-0.0689656,-0.000366237,2.50693,-0.005158,-0.000675,1547131044591578,1547131044843098,2.54978,-0.058117,2.95236e-05,2.52968,-0.0792789,-0.000258174
2.62387,-0.0494619,-0.00285437,2.67114,-0.000806,-0.002224,1547131044843098,1547131045094830,2.59114,-0.106419,0.00159459,2.58672,-0.0973726,0.00142043
2.51145,-0.119038,-0.00016613,2.61186,-0.001287,-0.004652,1547131045094830,1547131045346549,2.59918,-0.093588,0.00159472,2.50707,-0.109276,-0.000504295
2.61097,-0.0420218,-0.00611855,2.58085,-0.011249,-0.003641,1547131045346549,1547131045598274,2.56632,-0.0758081,-0.00507729,2.54562,-0.0712431,-0.00514146
2.47046,-0.125066,-0.00093304,2.55394,-0.017298,-0.004191,1547131045598274,1547131045849106,2.49277,-0.1551,0.000372903,2.46967,-0.0908658,-0.00232232
2.38067,-0.0556485,-0.00676009,2.5433,-0.016243,-0.010265,1547131045849106,1547131046100947,2.35939,-0.0843561,-0.00609334,2.36288,-0.0813252,-0.00605794
2.47718,-0.0817903,-0.011022,2.47881,-0.013214,-0.012238,1547131046100947,1547131046353776,2.47094,-0.0696248,-0.0107503,2.47355,-0.0656502,-0.010676
2.36291,-0.0874003,-0.0100703,2.40255,-0.022744,-0.011546,1547131046353776,1547131046606586,2.33713,-0.0701923,-0.0109421,2.3441,-0.0683469,-0.0108904
2.28819,-0.0702319,-0.00954147,2.28642,-0.011055,-0.010155,1547131046606586,1547131046858560,2.26856,-0.0618687,-0.0094395,2.23835,-0.0174048,-0.0090842
2.22509,-0.016947,-0.0108187,2.07837,-0.022247,-0.010876,1547131046858560,1547131047108396,2.17105,-0.0462853,-0.00909214,2.17384,-0.0219406,-0.00854917
2.04756,-0.0297866,-0.00813201,1.93037,-0.019123,-0.007732,1547131047108396,1547131047356527,2.04607,-0.0256179,-0.00835697,2.08172,-0.00979286,-0.00939058
2.05257,-0.0133881,-0.0102457,1.87883,-0.012445,-0.006157,1547131047356527,1547131047604949,2.03497,-0.0447374,-0.00922158,2.03285,-0.0438754,-0.00871523
1.92816,-0.0130994,-0.00589559,1.93416,-0.000435,-0.004559,1547131047604949,1547131047852128,1.97941,-0.0728037,-0.00332636,1.92382,-0.0306773,-0.00232008
1.93415,0.0173506,-0.00288661,1.86173,-0.001693,-0.002058,1547131047852128,1547131048099652,1.92475,-0.0051309,-0.00198744,1.92898,0.00649397,-0.00116267
1.79285,-0.0400868,-0.00443743,1.78559,0.004586,0.001168,1547131048099652,1547131048348015,1.80891,-0.0366586,-0.00444374,1.76666,-0.0362803,-0.00435185
1.69423,0.0508565,-0.00178261,1.67403,0.008494,0.008735,1547131048348015,1547131048596300,1.69276,0.0525976,-0.00185244,1.68036,0.0532334,-0.00186781
1.67112,-0.0109538,0.00832712,1.57662,0.006244,0.009058,1547131048596300,1547131048845472,1.66925,-0.014887,0.00839731,1.6409,-0.0372538,0.00756147
1.56073,0.0231536,0.0077014,1.54322,0.008295,0.003044,1547131048845472,1547131049096467,1.5226,0.033742,0.00713521,1.56648,0.0194499,0.00798127
1.45892,-0.0241549,0.00372865,1.4191,0.008521,0.004848,1547131049096467,1547131049347224,1.4843,-0.0202518,0.0040736,1.48708,-0.0173027,0.00402474
1.39889,0.0282116,0.00361198,1.33898,0.015245,0.010522,1547131049347224,1547131049597289,1.37695,-0.0155816,0.00488022,1.37272,-0.0142024,0.00482038
1.34343,-0.0523172,0.00827427,1.26295,0.011478,0.008711,1547131049597289,1547131049848692,1.3287,-0.0501752,0.00824303,1.33407,-0.0517893,0.00869824
1.2493,-0.0045884,0.00838403,1.18776,0.013308,0.006382,1547131049848692,1547131050101138,1.27129,-0.00636488,0.00823493,1.26603,-0.00491065,0.00809895
1.17803,-0.0212568,0.0123625,1.11866,0.007473,0.005671,1547131050101138,1547131050353296,1.18482,-0.02237,0.0125255,1.13135,0.031778,0.00990036
1.08675,0.0129213,0.00330283,1.03813,0.006129,0.004256,1547131050353296,1547131050605600,1.08317,0.01273,0.00334105,1.06818,0.0175743,0.00327411
0.96375,0.0532749,0.00324193,0.953778,0.006803,0.003848,1547131050605600,1547131050856549,0.956734,0.0525237,0.00322984,0.96242,0.0499276,0.00328907
0.883116,-0.00777955,0.0034656,0.864929,0.004842,0.001772,1547131050856549,1547131051108813,0.880274,-0.00296621,0.00350362,0.880811,-0.00352385,0.00350212
0.824962,0.00392813,0.00255161,0.775758,0.004521,0.002267,1547131051108813,1547131051361802,0.810656,0.0048941,0.00245214,0.813317,0.00602172,0.00243491
0.711694,-0.0357121,0.00227659,0.718097,0.005308,0.004371,1547131051361802,1547131051611654,0.699552,-0.0195122,0.0025236,0.704898,-0.0193164,0.00260132
0.69377,0.0178715,0.00291342,0.640306,0.00176,0.004119,1547131051611654,1547131051860657,0.665848,-0.0109359,0.00294523,0.665821,-0.0102463,0.00295839
0.666404,-0.00506275,0.00334631,0.606363,0.002709,0.003508,1547131051860657,1547131052110220,0.666732,-0.00328355,0.00347181,0.708552,-0.00373556,0.00283858
0.58548,-0.00432803,0.00430207,0.553784,0.002195,0.002785,1547131052110220,1547131052358304,0.588817,-0.00243825,0.0043447,0.589078,-0.00260057,0.00435338
0.576252,0.0251223,0.00185482,0.493354,0.002128,0.002194,1547131052358304,1547131052606390,0.575402,0.0198905,0.00167305,0.578703,0.0246903,0.00181748
0.493797,0.00464293,0.00274323,0.443804,0.003001,0.001834,1547131052606390,1547131052854808,0.497398,0.0055745,0.00272384,0.496612,0.00605145,0.00272382
